id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_P,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_P_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
11-01,5930,4250,2602,2177,1151,1906,1586,758,112,637,12,60,177,0,1234,3698,75,419,10,43,114,0,802,2787,149,3559,2222,96,2647,1507,2,2100,9,61,1334,2424,2,1546,5,34,986,1677
20-03,4408,3553,2090,1831,487,1698,1492,363,123,202,9,26,119,1,567,3361,100,160,6,18,91,0,420,2758,115,2979,1314,79,2448,1026,2,1244,3,38,1276,1845,2,1046,3,24,1027,1451
06-06,6685,5536,3248,2811,626,2727,2342,467,209,568,16,54,256,0,733,4849,171,475,14,45,211,0,563,4057,185,4322,2178,137,3627,1772,3,1858,0,61,1954,2809,2,1578,0,40,1596,2320
17-10,1377,1019,666,549,162,513,399,107,49,435,1,8,86,0,221,577,36,314,1,6,54,0,152,456,97,832,448,58,639,322,1,682,0,11,276,407,0,509,0,6,225,279
18-06,4379,3153,1944,1726,709,1460,1257,436,201,540,15,43,210,0,801,2569,153,374,10,30,145,0,503,1938,138,2723,1518,92,2030,1031,1,1685,2,46,714,1931,1,1260,2,26,513,1351
01-16,3022,2358,1528,1159,335,1216,916,226,52,351,3,26,81,0,371,2138,35,246,2,19,56,0,252,1748,80,2115,827,49,1703,606,0,1333,1,19,658,1011,0,1083,0,10,520,745
05-01,4445,3373,2080,1779,586,1607,1364,402,300,491,11,36,225,0,651,2731,231,340,7,27,160,0,453,2155,155,2782,1508,100,2150,1123,1,1427,3,34,1023,1957,1,1079,1,20,809,1463
04-12,2861,2432,1410,1232,219,1208,1059,165,112,100,2,21,117,0,261,2248,93,75,2,15,94,0,200,1953,71,2104,686,53,1833,546,0,926,1,17,702,1215,0,810,1,14,604,1003
20-16,4357,3211,1940,1609,808,1452,1190,569,564,704,14,29,275,0,895,1876,489,477,13,21,212,0,645,1354,163,2328,1866,111,1699,1401,4,1591,4,33,716,2009,2,1170,3,20,507,1509
18-07,3622,3048,1695,1662,265,1455,1392,201,57,259,14,18,93,0,305,2876,46,206,11,12,81,0,223,2469,102,2656,864,69,2287,692,1,909,0,30,1308,1374,1,766,0,22,1125,1134
18-01,5718,3371,2258,2236,1224,1366,1298,707,181,1160,14,95,209,0,1414,2645,117,661,3,47,112,0,821,1610,226,3208,2284,125,1945,1301,3,2320,6,57,728,2604,3,1480,3,24,419,1442
12-04,5154,4122,2427,2201,526,1982,1755,385,41,345,9,27,125,1,618,3988,32,279,9,21,81,0,448,3252,172,3389,1593,109,2772,1241,2,1124,1,43,2166,1818,2,910,1,35,1765,1409
01-14,3847,3081,1780,1684,383,1455,1379,247,33,432,2,31,80,0,424,2845,28,270,2,17,59,0,283,2422,84,2679,1084,60,2250,771,1,1932,4,28,422,1460,0,1596,2,16,338,1129
04-17,1921,1522,923,763,235,739,622,161,55,153,6,20,81,0,277,1329,47,113,6,15,63,0,193,1085,56,1269,596,37,1044,441,1,676,3,21,381,839,1,548,3,12,310,648
13-11,3250,2716,1648,1355,247,1392,1134,190,53,260,2,25,76,0,302,2532,42,210,2,18,59,0,233,2152,65,2464,721,49,2093,574,1,933,1,17,1078,1220,1,798,1,11,918,987
16-10,5130,3731,2600,1927,603,2012,1325,394,59,3162,9,50,236,1,789,824,38,2365,6,38,156,1,536,591,357,2927,1846,245,2155,1331,0,3261,2,20,397,1450,0,2475,0,15,287,954
16-05,2645,2018,1289,1112,244,1004,856,158,31,519,11,21,83,1,298,1681,22,364,6,16,56,1,190,1363,93,1899,653,55,1503,460,2,1029,3,27,669,915,1,789,0,17,545,666
02-06,2664,2347,1279,1222,163,1136,1085,126,53,137,4,7,86,1,183,2193,49,114,3,4,69,1,143,1964,36,2112,516,28,1888,431,0,639,0,21,1084,920,0,563,0,18,971,795
