precinct_abbrv,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_DEM,party_LIB,party_REP,party_UNA,party_DEM_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
04-05,3321,48,1619,1600,102,24,22,2,271,202,4,16,195,159,2474,6,1,0,1,3,1,36,60,2472,789,1,34,13,1106,17,871,1327,22,0,8,18
01-02,1857,528,951,750,156,288,233,7,23,58,3,21,36,202,1514,6,7,0,5,9,19,482,23,1364,470,0,458,70,753,12,369,723,305,0,56,167
17-06,1856,15,972,833,51,9,6,0,13,470,8,17,60,109,1179,0,12,0,0,0,1,2,90,1377,389,2,10,3,727,11,574,544,13,0,0,2
01-21,3907,565,1977,1710,220,307,239,19,73,1181,13,62,168,308,2102,12,169,3,4,19,23,335,157,2622,1128,9,437,119,1788,25,681,1413,332,1,57,175
18-04,3747,7,1858,1775,114,4,3,0,102,328,10,22,139,150,2996,0,5,0,0,0,0,2,78,2951,718,0,6,1,1149,19,1252,1327,6,0,0,1
15-02,4924,52,2518,2271,135,26,26,0,49,773,14,43,162,231,3652,0,16,0,1,1,2,32,200,3651,1073,3,35,14,1557,27,1759,1581,25,0,14,13
11-02,3915,900,2062,1693,160,477,409,14,71,257,9,30,111,192,3245,12,54,0,4,19,14,797,69,2985,861,10,740,150,1393,19,1173,1330,440,0,213,247
19-13,2069,216,1167,813,89,126,89,1,57,385,5,29,92,117,1384,0,50,0,0,4,6,156,74,1526,469,1,175,40,728,9,593,739,96,0,52,68
12-04,4039,187,2075,1841,123,107,77,3,17,272,11,23,100,176,3440,0,8,0,0,1,4,174,121,2914,1004,2,138,47,941,20,1725,1353,48,1,66,72
18-06,3787,267,1880,1724,183,151,108,8,182,509,8,50,186,286,2566,17,60,0,3,8,12,167,98,2639,1050,2,180,85,1421,33,760,1573,145,1,29,92
16-03,1425,79,747,632,46,44,33,2,6,484,3,16,44,77,795,0,33,0,1,1,5,39,56,1039,330,0,61,18,672,16,298,439,47,2,18,12
07-12,2440,522,1328,1024,88,289,231,2,36,359,3,18,78,122,1824,1,57,0,3,7,5,449,76,1849,515,6,458,58,1047,21,598,774,290,0,109,123
01-11,2003,765,1005,965,33,371,392,2,8,3,0,2,19,50,1921,6,0,0,0,6,13,740,11,1678,314,2,678,85,601,2,949,451,304,0,301,160
02-05,948,0,478,450,20,0,0,0,16,33,1,4,32,33,829,0,0,0,0,0,0,0,12,814,122,0,0,0,234,4,352,358,0,0,0,0
01-41,1977,434,831,977,169,213,214,7,54,251,6,25,68,222,1351,2,29,0,2,7,17,377,71,1388,518,4,379,51,805,22,302,848,265,0,51,118
04-06,2709,0,1439,1201,69,0,0,0,46,88,2,25,94,94,2360,0,0,0,0,0,0,0,59,2077,573,0,0,0,920,15,794,980,0,0,0,0
04-02,2467,1,1250,1141,76,0,1,0,62,218,3,23,146,128,1887,0,0,0,0,0,0,1,152,1739,576,0,1,0,894,17,603,953,1,0,0,0
