id,total,voted_total,gender_F,gender_M,gender_U,gender_F_voted,gender_M_voted,gender_U_voted,race_A,race_B,race_I,race_M,race_O,race_U,race_W,race_A_voted,race_B_voted,race_I_voted,race_M_voted,race_O_voted,race_U_voted,race_W_voted,ethnic_HL,ethnic_NL,ethnic_UN,ethnic_HL_voted,ethnic_NL_voted,ethnic_UN_voted,party_CST,party_DEM,party_GRE,party_LIB,party_REP,party_UNA,party_CST_voted,party_DEM_voted,party_GRE_voted,party_LIB_voted,party_REP_voted,party_UNA_voted
17-07,3486,0,1848,1428,210,0,0,0,72,2072,6,31,204,365,736,0,0,0,0,0,0,0,257,2247,982,0,0,0,1,2198,3,18,288,978,0,0,0,0,0,0
20-05,3862,19,1928,1753,181,10,8,1,168,164,9,15,147,209,3150,0,1,0,0,0,1,17,51,2840,971,0,15,4,1,967,1,21,1307,1565,0,7,0,0,6,6
01-37,1769,0,896,810,63,0,0,0,16,93,3,4,37,92,1524,0,0,0,0,0,0,0,20,1444,305,0,0,0,0,629,1,12,528,599,0,0,0,0,0,0
02-04,2277,0,1116,1081,80,0,0,0,57,83,1,17,63,106,1950,0,0,0,0,0,0,0,20,1865,392,0,0,0,0,527,0,6,953,791,0,0,0,0,0,0
01-44,3445,0,1882,1363,200,0,0,0,39,759,7,39,131,261,2209,0,0,0,0,0,0,0,144,2488,813,0,0,0,1,1585,1,20,736,1102,0,0,0,0,0,0
16-09,3610,350,1851,1559,200,191,150,9,45,1216,15,17,139,269,1909,3,153,1,0,9,12,172,191,2524,895,5,282,63,2,1604,1,29,809,1165,0,199,0,0,59,92
01-09,1096,0,560,489,47,0,0,0,9,17,0,2,15,45,1008,0,0,0,0,0,0,0,7,904,185,0,0,0,0,503,1,6,196,390,0,0,0,0,0,0
12-02,4321,305,2201,1893,227,156,140,9,37,781,10,38,173,328,2954,0,60,1,0,3,11,230,192,2832,1297,3,233,69,4,1398,0,51,1344,1524,0,117,0,2,91,95
02-05,995,0,488,477,30,0,0,0,18,32,2,6,36,42,859,0,0,0,0,0,0,0,14,833,148,0,0,0,0,241,0,5,344,405,0,0,0,0,0,0
08-07,2508,0,1226,1207,75,0,0,0,62,84,6,19,74,103,2160,0,0,0,0,0,0,0,36,2038,434,0,0,0,1,591,0,15,939,962,0,0,0,0,0,0
